@relation tce_features-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
30.433,131.979,0.018703,54.39536,89.11,0.8436,2.44,0.1489,329.6,0.377043,0.83333,-0.83167,0.292309,48,1,7.532,1032,1257,8.733,624,47,626.6,80.39,2.959,0.2139,809,0,7043,4.26,-0.02,1.45,7.233,8.235,-4.851,1.262,0.06506,6.524,0.9146,0.5891,NTP
31.8249,144.549,0.007957,22.560774,87.88,0.8361,6.067,0.1563,59.96,0.135723,1.320108,-1.219789,0.412536,41,1,7.022,1886,2267,7.683,520,39,253,52.66,0.7354,0.191,589,2,6338,4.54,-0.8,0.847,4.078,7.686,-2.683,0.6084,0.1492,12.63,0.9135,0.3491,PC
1.41158,132.652,0.015382,1.007744,18,0.9584,3.587,0.5769,184.6,0.307518,1.031472,-1.068696,0.383446,919,1,14.52,16720,19300,20.95,12100,930,28150,7709,2.894,0.02783,2520,0,7261,4.12,-0.22,1.724,6.194,15.96,-3.104,2.749,0,5.805,0.9099,0.1945,AFP
0.712192,131.996,0.00818,1.219592,50.63,0.7736,2.884,0.05758,66.68,0.575381,0.087011,-0.029741,-0.010093,1505,1,18.95,24100,26650,20.64,19150,1472,51260,2838,3.162,0.02161,5180,0,9176,3.76,0.07,3.542,6.551,14.75,-9.288,3.194,0.000002,4.618,1.284,0.6296,AFP
13.6471,132.254,0.007453,12.688906,89.45,0.1227,8.216,0.0617,66.86,0.363765,0.528096,-0.128998,-0.04291,99,1,10.3,6287,7544,14.42,1222,93,739.2,342.7,1.124,0.1075,913,1,5771,4.11,-0.3,1.382,4.624,10.93,-2.911,0.7922,0.5139,13.8,0.9419,0.2662,PC
578.625,336.812,0.020083,311.66457,89.89,0.6179,11.51,0.3623,437.6,0.380988,0.552854,-0.228962,0.006278,3,1,8.566,263.4,313,32.89,39,2,25.86,12.95,2.036,1.366,219,0,6032,4.51,-0.18,0.929,43.67,8.042,-3.864,0.6606,0.005693,12.17,1.065,0.4805,NTP
5.28857,135.805,0.055032,6.192055,81.34,0.9324,3.221,0.9933,2162,0.650077,-0.59157,1.308941,-0.541715,255,1,169.2,5852,7311,192.1,3250,249,8412,948.6,66.63,0.06978,2640,1,4752,2.56,-0.16,11.1,19.27,173.2,-4.457,0.6888,0.6193,251.4,0.9768,0.02573,AFP
14.5167,137.563,0.010666,7.582443,82.87,0.9406,5.406,0.4596,88.35,0.410062,0.474657,-0.136898,-0.022719,72,1,9.565,2802,3386,10.61,936,71,564.9,115.2,2.194,0.1218,1030,1,5934,3.94,-0.06,1.885,4.997,9.733,-2.175,0.7691,0.4169,12.66,0.9827,0.2235,PC
0.635093,132.11,0.040012,1.367171,42.99,1,1.014,0.5071,483.5,0.318018,0.818116,-0.628397,0.178736,1682,1,48.57,68420,20440,18.46,21440,1648,2044000,1975000,4.506,0.01487,2320,1,6319,4.45,-0.22,1.032,180.9,1016,-131.1,21.33,0.000051,47.61,0.04782,0.129,NTP
33.8841,160,0.013547,46.958919,89.95,0.03959,5.583,0.07474,223.1,0.40798,0.327247,0.166875,-0.167723,36,1,14.27,1515,1769,15.51,429,32,229.5,66.04,1.31,0.1904,534,3,5607,4.45,-0.34,0.886,4.67,13.48,-3.391,0.7622,0.02212,17.69,1.059,0.2515,PC
